Window Size,N,Slot Efficiency
8.0,1.0,0.22163
8.0,2.0,0.34546
8.0,3.0,0.40265
8.0,4.0,0.41882
8.0,5.0,0.4074
8.0,6.0,0.38202
8.0,7.0,0.33942
8.0,8.0,0.30585
8.0,9.0,0.26839
8.0,10.0,0.23155
8.0,11.0,0.19735
8.0,12.0,0.17015
8.0,13.0,0.14137
8.0,14.0,0.12012
8.0,15.0,0.10033
8.0,16.0,0.08055
8.0,17.0,0.06728
8.0,18.0,0.0554
8.0,19.0,0.04668
8.0,20.0,0.03837
8.0,21.0,0.03035
8.0,22.0,0.02535
8.0,23.0,0.02061
8.0,24.0,0.01706
8.0,25.0,0.01233
8.0,26.0,0.01087
8.0,27.0,0.00868
8.0,28.0,0.00706
8.0,29.0,0.00576
8.0,30.0,0.00438
8.0,31.0,0.0037
8.0,32.0,0.00292
16.0,1.0,0.11783
16.0,2.0,0.20699
16.0,3.0,0.27557
16.0,4.0,0.32331
16.0,5.0,0.35631
16.0,6.0,0.37581
16.0,7.0,0.3869
16.0,8.0,0.39192
16.0,9.0,0.39164
16.0,10.0,0.3795
16.0,11.0,0.372
16.0,12.0,0.35682
16.0,13.0,0.33932
16.0,14.0,0.3234
16.0,15.0,0.30784
16.0,16.0,0.28795
16.0,17.0,0.27057
16.0,18.0,0.25234
16.0,19.0,0.23471
16.0,20.0,0.21852
16.0,21.0,0.20299
16.0,22.0,0.18675
16.0,23.0,0.17162
16.0,24.0,0.15917
16.0,25.0,0.14618
16.0,26.0,0.13306
16.0,27.0,0.12385
16.0,28.0,0.11141
16.0,29.0,0.10248
16.0,30.0,0.09276
16.0,31.0,0.0855
16.0,32.0,0.07822
32.0,1.0,0.06006
32.0,2.0,0.11327
32.0,3.0,0.15953
32.0,4.0,0.1999
32.0,5.0,0.23782
32.0,6.0,0.26583
32.0,7.0,0.2915
32.0,8.0,0.31385
32.0,9.0,0.33207
32.0,10.0,0.34383
32.0,11.0,0.35496
32.0,12.0,0.36494
32.0,13.0,0.37322
32.0,14.0,0.37788
32.0,15.0,0.37837
32.0,16.0,0.38084
32.0,17.0,0.38114
32.0,18.0,0.37527
32.0,19.0,0.37379
32.0,20.0,0.36944
32.0,21.0,0.36312
32.0,22.0,0.35934
32.0,23.0,0.35397
32.0,24.0,0.34527
32.0,25.0,0.33977
32.0,26.0,0.32852
32.0,27.0,0.32413
32.0,28.0,0.31206
32.0,29.0,0.30316
32.0,30.0,0.29788
32.0,31.0,0.28636
32.0,32.0,0.27858
