N,Slot Efficiency,8,16,32
1.0,0.9998900000000001,1.0,0.99991,0.99976
2.0,6e-05,4e-05,2e-05,0.00012
3.0,0.31882333333333335,0.31715,0.31941,0.31991
4.0,0.31523000000000007,0.31316,0.31463,0.3179
5.0,0.29227333333333333,0.28976,0.29506,0.292
6.0,0.29281,0.29378,0.29092,0.29373
7.0,0.2811966666666667,0.2799,0.28254,0.28115
8.0,0.27325,0.27221,0.2736,0.27394
9.0,0.2613266666666667,0.26049,0.2606,0.26289
10.0,0.2527333333333333,0.25298,0.25292,0.2523
11.0,0.24372333333333332,0.24185,0.24542,0.2439
12.0,0.23409,0.23427,0.23504,0.23296
13.0,0.22148,0.22193,0.22125,0.22126
14.0,0.21227333333333331,0.21129,0.21341,0.21212
15.0,0.20178333333333334,0.20088,0.20285,0.20162
16.0,0.19247333333333336,0.19045,0.19293,0.19404
17.0,0.18069,0.18155,0.17931,0.18121
18.0,0.17284999999999998,0.17279,0.17077,0.17499
19.0,0.16132999999999997,0.1621,0.15985,0.16204
20.0,0.15344333333333335,0.15331,0.15494,0.15208
21.0,0.14378000000000002,0.14404,0.14308,0.14422
22.0,0.13559,0.13569,0.13496,0.13612
23.0,0.12751333333333334,0.12812,0.12702,0.1274
24.0,0.11886666666666668,0.11927,0.11863,0.1187
25.0,0.11118666666666667,0.11194,0.1106,0.11102
26.0,0.10337333333333333,0.10326,0.10307,0.10379
27.0,0.09652666666666665,0.09655,0.09565,0.09738
28.0,0.09080666666666666,0.09095,0.09078,0.09069
29.0,0.08203,0.08348,0.0811,0.08151
30.0,0.07730666666666668,0.07811,0.07794,0.07587
31.0,0.07079666666666667,0.07035,0.07093,0.07111
32.0,0.06522,0.06593,0.06511,0.06462
