N,Slot Efficiency,8,16,32
1.0,0.13369333333333333,0.22331,0.11742,0.06035
2.0,0.22223666666666664,0.34643,0.20647,0.11381
3.0,0.2796266666666667,0.40507,0.27355,0.16026
4.0,0.3145,0.41723,0.32341,0.20286
5.0,0.33405666666666667,0.40671,0.3588,0.23666
6.0,0.33937666666666666,0.378,0.37509,0.26504
7.0,0.3428066666666667,0.34554,0.39124,0.29164
8.0,0.3373,0.30522,0.39223,0.31445
9.0,0.32894333333333337,0.26909,0.38779,0.32995
10.0,0.3193,0.23328,0.37966,0.34496
11.0,0.30815,0.19836,0.37012,0.35597
12.0,0.2968033333333333,0.16711,0.35702,0.36628
13.0,0.28452333333333335,0.14301,0.3392,0.37136
14.0,0.27159,0.11761,0.32216,0.375
15.0,0.2601466666666667,0.09872,0.3045,0.37722
16.0,0.24992333333333336,0.08294,0.28713,0.3797
17.0,0.23749999999999996,0.06725,0.26963,0.37562
18.0,0.22781666666666664,0.05598,0.25143,0.37604
19.0,0.21933000000000002,0.04671,0.23624,0.37504
20.0,0.20828333333333335,0.03713,0.21801,0.36971
21.0,0.19881333333333337,0.03072,0.20258,0.36314
22.0,0.19017666666666666,0.02443,0.18692,0.35918
23.0,0.18104,0.01966,0.1718,0.35166
24.0,0.17271999999999998,0.01667,0.15764,0.34385
25.0,0.16657333333333332,0.01386,0.14646,0.3394
26.0,0.15789666666666666,0.01165,0.13347,0.32857
27.0,0.15130333333333332,0.00818,0.12365,0.32208
28.0,0.14407,0.00737,0.11083,0.31401
29.0,0.13785,0.00537,0.10105,0.30713
30.0,0.13115666666666667,0.00449,0.09439,0.29459
31.0,0.12542333333333333,0.00369,0.08546,0.28712
32.0,0.12008666666666667,0.00287,0.07824,0.27915
